P, x1, y1
46.99, 0, 0
61.68, 0.0437, 0.2722
67.37, 0.0724, 0.35
73.6, 0.115, 0.424
79.56, 0.1813, 0.4803
83.35, 0.2537, 0.5218
86.55, 0.3469, 0.5565
87.31, 0.3682, 0.5646
89.17, 0.4539, 0.5899
89.95, 0.5346, 0.6156
90.28, 0.5668, 0.6248
90.53, 0.6178, 0.6415
90.62, 0.6358, 0.6496
90.67, 0.6447, 0.6522
90.83, 0.6559, 0.6572
90.7, 0.662, 0.6579
90.79, 0.6812, 0.6737
90.56, 0.712, 0.6798
90.37, 0.7295, 0.6887
90.44, 0.7318, 0.6883
89.68, 0.7681, 0.7067
89.69, 0.7713, 0.7087
89.25, 0.7998, 0.7242
88.45, 0.831, 0.7466
87.55, 0.8528, 0.764
86.94, 0.8701, 0.7813
86.1, 0.8855, 0.797
82.89, 0.9371, 0.865
82.2, 0.9445, 0.8782
81.07, 0.9569, 0.9001
79.95, 0.9686, 0.9224
79.63, 0.9725, 0.9311
75.99, 1, 1